Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Home_Clean,Away_Clean,Home_Score,Away_Score,Leg 1,Leg 2,Extra Time Required,Home_Score_2,Away_Score_2,Home_Pens,Away_Pens
Group stage,2,Wed,14-09-2022,21:00,FC Copenhagendk,0.7,0–0,0.8,esSevilla,"34,910",Parken,Irfan Peljto,Match Report,,FC Copenhagen,Sevilla,0,0,0,0,0,,,,
Group stage,2,Wed,14-09-2022,21:00,Juventusit,0.8,1–2,2.2,ptBenfica,"34,015",Allianz Stadium,Felix Zwayer,Match Report,,Juventus,Benfica,1,2,0,0,0,,,,
Group stage,2,Wed,14-09-2022,21:00,Real Madrides,0.9,2–0,0.7,deRB Leipzig,"54,289",Estadio Santiago Bernabéu,Maurizio Mariani,Match Report,,Real Madrid,RB Leipzig,2,0,0,0,0,,,,
Group stage,2,Wed,14-09-2022,22:00,Maccabi Haifail,1,1–3,1.8,frParis S-G,"30,412",Sammy Ofer Stadium,Daniel Siebert,Match Report,,Maccabi Haifa,Paris S-G,1,3,0,0,0,,,,
,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,
Group stage,3,Tue,04-10-2022,18:45,Bayern Munichde,2.4,5–0,0.5,czViktoria Plzeň,"75,000",Allianz Arena,Nikola Dabanović,Match Report,,Bayern Munich,Viktoria Plzeň,5,0,0,0,0,,,,
Group stage,3,Tue,04-10-2022,18:55,Marseillefr,2.5,4–1,0.4,ptSporting CP,618,Orange Vélodrome,Davide Massa,Match Report,,Marseille,Sporting CP,4,1,0,0,0,,,,
Group stage,3,Tue,04-10-2022,20:00,Liverpooleng,2.9,2–0,0.4,sctRangers,"49,512",Anfield,Clément Turpin,Match Report,,Liverpool,Rangers,2,0,0,0,0,,,,
Group stage,3,Tue,04-10-2022,20:00,Portopt,1.1,2–0,1.4,deLeverkusen,"42,399",Estádio Do Dragão,Anthony Taylor,Match Report,,Porto,Leverkusen,2,0,0,0,0,,,,
Group stage,3,Tue,04-10-2022,21:00,Eint Frankfurtde,1,0–0,1.5,engTottenham,"50,500",Deutsche Bank Park,Daniele Orsato,Match Report,,Eint Frankfurt,Tottenham,0,0,0,0,0,,,,
Group stage,3,Tue,04-10-2022,21:00,Interit,0.2,1–0,0.5,esBarcelona,"71,368",Stadio Giuseppe Meazza,Slavko Vinčič,Match Report,,Inter,Barcelona,1,0,0,0,0,,,,
Group stage,3,Tue,04-10-2022,21:00,Ajaxnl,1.4,1–6,3.3,itNapoli,"52,896",Johan Cruyff ArenA,François Letexier,Match Report,,Ajax,Napoli,1,6,0,0,0,,,,
Group stage,3,Tue,04-10-2022,21:00,Club Bruggebe,1.3,2–0,2.1,esAtlético Madrid,"25,667",Jan Breydelstadion,István Kovács,Match Report,,Club Brugge,Atlético Madrid,2,0,0,0,0,,,,
Group stage,3,Wed,05-10-2022,18:45,RB Leipzigde,2.2,3–1,0.9,sctCeltic,"45,228",Red Bull Arena,Espen Andreas Eskås,Match Report,,RB Leipzig,Celtic,3,1,0,0,0,,,,
Group stage,3,Wed,05-10-2022,18:45,RB Salzburgat,2.2,1–0,0.7,hrDinamo Zagreb,"28,864",Red Bull Arena,Andris Treimanis,Match Report,,RB Salzburg,Dinamo Zagreb,1,0,0,0,0,,,,
Group stage,3,Wed,05-10-2022,20:00,Chelseaeng,1.1,3–0,0.4,itMilan,"39,537",Stamford Bridge,Danny Makkelie,Match Report,,Chelsea,Milan,3,0,0,0,0,,,,
